"HostName";"Version";"Build";"Manufacturer";"Model";"vCenterServer";"SerialNumber";"Cluster";"ClusterNotes";"BootTime";"PowerState";"ConnectionState";"IpAddress";"SubnetMask";"DefaultGateway";"vMotionIPv4Address";"vMotionSubnetMask";"DnsServer";"SearchDomain";"MacAddress";"PhysicalLocation";"Notes";"VMs"
"esxi6042.tinu.cloud.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa0101.tinu.cloud.ch";"VCGG2M7033";"c4tn9992";"Visana WL";"2023-07-13 11:16:21";"StandBy";"NotResponding";"10.90.26.42";"255.255.255.0";"10.90.26.1";"192.168.92.42";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"ea:95:a5:a0:00:f9";"DCGA";"mwalther, End AutoDeploy, 2023-03-28";
"esxi6041.tinu.cloud.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa0101.tinu.cloud.ch";"VCGG2M7031";"c4tn9992";"Visana WL";"2023-03-28 12:54:15";"PoweredOn";"Connected";"10.90.26.41";"255.255.255.0";"10.90.26.1";"192.168.92.41";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"ea:95:a5:a0:00:f5";"DCGA";"mwalther, End AutoDeploy, 2023-03-28";"3"
"esxi7209.tinu.cloud.ch";"6.7.0";"17499825";"HP";"ProLiant XL170r Gen9";"vcsa0010.tinu.cloud.ch";"CZ3624BBHW";"FinPlatin01";"Core";"2021-04-20 14:07:53";"PoweredOn";"Connected";"10.91.9.59";"255.255.0.0";"10.91.0.1";"192.168.60.13";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"70:10:6f:ab:8e:80";"DCEN";"mwalther, vmnic1000202, Inc 7622775, 2023-02-27";"19"
"esxi9218.tinu.cloud.ch";"6.7.0";"17499825";"HP";"ProLiant XL170r Gen9";"vcsa0010.tinu.cloud.ch";"CZ3624BAXY";"FinPlatin01";"Core";"2021-04-21 08:35:07";"PoweredOn";"Connected";"10.91.9.107";"255.255.0.0";"10.91.0.1";"192.168.60.15";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"70:10:6f:ab:8c:48";"DCSG";"";"17"
"esxi9220.tinu.cloud.ch";"6.7.0";"17499825";"HP";"ProLiant XL170r Gen9";"vcsa0010.tinu.cloud.ch";"CZ3624BBSN";"FinPlatin01";"Core";"2021-03-17 21:56:05";"PoweredOn";"Connected";"10.91.9.65";"255.255.0.0";"10.91.0.1";"192.168.60.16";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"70:10:6f:b3:0e:da";"DCSG";"";"12"
"esxi7220.tinu.cloud.ch";"6.7.0";"17499825";"HP";"ProLiant XL170r Gen9";"vcsa0010.tinu.cloud.ch";"CZ3624BBEY";"FinPlatin01";"Core";"2021-03-15 20:18:53";"PoweredOn";"Connected";"10.91.9.109";"255.255.0.0";"10.91.0.1";"192.168.60.14";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"70:10:6f:ab:91:c0";"DCEN";"dreich, vmnic0 Inc 7639360, 2023-06-22";"19"
"esxi7202.tinu.cloud.ch";"6.5.0";"18678235";"HP";"ProLiant XL170r Gen9";"vcsa0010.tinu.cloud.ch";"CZ3625BPMT";"DMZPlatin01";"DMZ";"2022-07-18 08:56:30";"PoweredOn";"Connected";"10.95.0.102";"255.255.255.0";"10.95.0.1";"192.168.70.102";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"70:10:6f:52:da:92";"DCEN";"mwalther, vmnic1, Inc 7640195, 2023-06-29";"12"
"esxi7201.tinu.cloud.ch";"6.5.0";"18678235";"HP";"ProLiant XL170r Gen9";"vcsa0010.tinu.cloud.ch";"CZ3624BBN3";"DMZPlatin01";"DMZ";"2022-06-22 08:47:13";"PoweredOn";"Connected";"10.95.0.101";"255.255.255.0";"10.95.0.1";"192.168.70.101";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"70:10:6f:ab:93:68";"DCEN";"mwalther, vmnic2, Inc 7639757, 2023-06-27";"15"
"esxi9201.tinu.cloud.ch";"6.5.0";"18678235";"HP";"ProLiant XL170r Gen9";"vcsa0010.tinu.cloud.ch";"CZ3624BB1K";"DMZPlatin01";"DMZ";"2021-11-10 19:44:21";"PoweredOn";"Connected";"192.168.70.201";"255.255.255.0";;"10.95.0.201";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"00:50:56:6a:6f:1a";"DCSG";"mwalther, vmnic1000002. Inc 7626606, 2023-02-26";"19"
"esxi9202.tinu.cloud.ch";"6.5.0";"18678235";"HP";"ProLiant XL170r Gen9";"vcsa0010.tinu.cloud.ch";"CZ3813VY0L";"DMZPlatin01";"DMZ";"2022-07-21 18:25:55";"PoweredOn";"Connected";"10.95.0.202";"255.255.255.0";"10.95.0.1";"192.168.70.202";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"d0:67:26:d3:d4:06";"DCSG";"";"11"
